iter	RMSE
265	0.9037924166
266	0.9021265013
267	0.8989213747
268	0.8942460463
269	0.8926229118
270	0.8895056219
271	0.8876801893
272	0.8844674203
273	0.8835056634
274	0.8797462048
275	0.8754075914
276	0.8719554148
277	0.8677271842
278	0.8631293681
279	0.8588325141
280	0.8554363888
281	0.8531481436
282	0.8499343818
283	0.8474111725
284	0.8447943055
285	0.841133957
286	0.8387934446
287	0.8352575259
288	0.831932189
289	0.8289459587
290	0.8255149091
291	0.8232682618
292	0.8209870279
293	0.8194505026
294	0.8152101767
295	0.8114601109
296	0.8089292084
297	0.8050242827
298	0.8037221465
299	0.7994892228
300	0.7982246301
301	0.7947651717
302	0.7914686688
303	0.787642434
304	0.7854968853
305	0.7833697045
306	0.7796506424
307	0.7785610338
308	0.7758177461
309	0.772123554
310	0.770591018
311	0.7669992518
312	0.7655741129
313	0.7621629216
314	0.7597215255
315	0.7588670421
316	0.7560280237
317	0.7522789361
318	0.7513226043
319	0.7493146522
320	0.746755225
321	0.7428481496
322	0.7409732106
323	0.7377661899
324	0.734248081
325	0.7316048311
326	0.7303856804
327	0.7278666408
328	0.7265379241
329	0.723215475
330	0.7206007328
331	0.7194327749
332	0.7183321085
333	0.7168547606
334	0.7138874617
335	0.7131162664
336	0.7121097257
337	0.7111228637
338	0.7084962074
339	0.7070449623
340	0.7062580565
341	0.7055346829
342	0.7027273328
343	0.6995831527
344	0.6965680111
345	0.6948428785
346	0.6931122687
347	0.6906805462
348	0.689425043
349	0.6879208042
350	0.6846544114
351	0.6818781424
352	0.6795309807
353	0.676727275
354	0.675706936
355	0.6736423858
356	0.6711944204
357	0.6683632756
358	0.6654610799
359	0.6630923873
360	0.6607133065
361	0.6599781937
362	0.6575387691
363	0.6569151722
364	0.6554721302
365	0.6537023957
366	0.6530150858
367	0.65139178
368	0.6501712026
369	0.6494182007
370	0.6469611007
371	0.6444170518
372	0.6437676703
373	0.641225746
374	0.6396145751
375	0.637456617
376	0.6357375123
377	0.6349572068
378	0.6342582421
379	0.63295261
380	0.6323241118
381	0.631711091
382	0.6297496396
383	0.6276678891
384	0.6257129289
385	0.6250422968
386	0.6227802721
387	0.6209241084
388	0.6196867028
389	0.6177562425
390	0.6171745115
391	0.6155805066
392	0.6150690813
393	0.6136118658
394	0.610296467
395	0.609436771
396	0.607045049
397	0.6049916504
398	0.6020751822
399	0.600807274
